Names,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET
TX-El Paso County,21.0,16.0,27.0,(±5.5),278,,NaN,45.6,38.6,52.8,(±7.2),241,,NaN,49.6,42.9,56.3,(±6.7),261,,NaN,50.6,43.8,57.4,(±6.9),253,,NaN,61.4,55.0,67.3,(±6.2),297,,NaN,80.9,74.4,86.0,(±5.8),225,,NaN,92.5,88.8,95.1,(±3.1),281,,NaN,90.9,86.8,93.9,(±3.5),313,,NaN,85.9,79.3,90.7,(±5.6),201,,87.6,81.1,92.1,(±5.4),270,,NaN,87.7,82.1,91.6,(±4.7),317,,NaN,93.3,88.9,96.0,(±3.4),240,,92.7,88.1,95.6,(±3.7),296,,NaN,92.9,88.1,95.9,(±3.8),211,,NaN,91.7,85.4,95.4,(±4.8),191,
TX-Hidalgo County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
TX-Rest of State,10.6,7.0,15.8,(±4.3),278,,NaN,14.5,10.7,19.4,(±4.3),327,,NaN,16.8,12.6,22.1,(±4.8),341,,NaN,38.8,32.1,45.9,(±6.9),308,,NaN,53.0,46.9,59.1,(±6.1),381,,NaN,73.3,66.6,79.2,(±6.3),298,,NaN,84.4,77.1,89.6,(±6.2),240,,NaN,87.4,81.8,91.5,(±4.8),242,,NaN,89.6,85.6,92.7,(±3.5),330,,91.6,86.4,94.9,(±4.2),429,,NaN,84.3,79.7,88.0,(±4.1),547,,NaN,90.0,85.0,93.4,(±4.1),372,,87.7,82.8,91.4,(±4.2),454,,NaN,90.8,86.2,94.0,(±3.8),596,,NaN,88.1,83.2,91.7,(±4.2),542,
Utah,12.3,8.9,16.6,(±3.8),274,,NaN,33.6,27.4,40.4,(±6.6),269,,NaN,36.1,30.0,42.6,(±6.3),297,,NaN,50.2,41.1,59.3,(±9.2),204,,NaN,54.4,46.9,61.6,(±7.4),226,,NaN,75.2,68.9,80.5,(±5.8),309,,NaN,86.2,79.4,91.0,(±5.7),232,,NaN,89.1,84.3,92.6,(±4.1),289,,NaN,84.4,79.1,88.6,(±4.7),348,,87.8,82.3,91.7,(±4.7),353,,NaN,88.1,81.9,92.4,(±5.2),271,,NaN,94.4,90.4,96.7,(±3.1),249,,89.1,83.2,93.1,(±4.8),263,,NaN,86.2,79.7,90.8,(±5.5),247,,NaN,90.1,83.8,94.1,(±5),252,
Vermont,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,28.4,21.1,37.0,(±8),210,,NaN,53.7,46.5,60.7,(±7.2),232,,NaN,58.9,52.6,64.9,(±6.2),331,,NaN,61.4,54.5,67.8,(±6.7),235,,70.9,64.3,76.8,(±6.2),276,,NaN,65.2,58.5,71.4,(±6.5),257,,NaN,76.3,70.2,81.5,(±5.7),280,,76.3,69.3,82.1,(±6.4),246,,NaN,82.7,77.1,87.2,(±5.0),262,,NaN,86.5,81.6,90.2,(±4.3),287,
Virginia,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,11.7,8.1,16.5,(±4.2),280,,NaN,39.2,33.0,45.7,(±6.4),342,,NaN,61.7,52.6,70.1,(±8.8),225,,NaN,64.0,55.5,71.6,(±8.2),278,,NaN,78.0,71.6,83.2,(±5.8),382,,78.8,72.0,84.3,(±6.2),394,,NaN,80.7,72.7,86.7,(±7.0),294,,NaN,79.4,69.2,86.8,(±8.8),274,,86.8,79.2,91.9,(±6.2),286,,NaN,76.9,68.5,83.5,(±7.5),373,,NaN,87.4,80.1,92.3,(±6),368,
Washington,8.0,5.9,10.6,(±2.3),548,,NaN,18.2,14.8,22.2,(±3.7),580,,NaN,24.2,20.3,28.7,(±4.2),548,,NaN,25.0,20.4,30.4,(±5),397,,NaN,36.4,31.7,41.3,(±4.8),666,,NaN,56.8,50.4,63.1,(±6.4),447,,NaN,71.5,65.2,77.0,(±6),430,,NaN,78.8,73.7,83.1,(±4.7),472,,NaN,77.6,72.1,82.2,(±5.0),427,,82.2,76.3,86.9,(±5.3),295,,NaN,79.3,72.1,85.0,(±6.5),256,,NaN,85.4,78.3,90.4,(±6.0),222,,75.7,67.1,82.7,(±7.8),238,,NaN,89.2,84.7,92.5,(±3.9),309,,NaN,89.4,84.7,92.7,(±4),320,
WA-Eastern WA Counties,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,29.1,23.4,35.6,(±6.1),259,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,82.3,75.7,87.5,(±5.9),206,,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
WA-King County,14.0,10.3,18.9,(±4.3),279,,NaN,31.8,25.9,38.5,(±6.3),293,,NaN,40.2,33.5,47.3,(±7),263,,NaN,40.4,31.8,49.7,(±9),190,,NaN,54.3,46.3,62.1,(±8),200,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
WA-Western Counties,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,52.1,45.0,59.1,(±7.1),233,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,76.1,69.2,81.9,(±6.4),221,,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
WA-Eastern/Western WA,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,67.1,60.1,73.3,(±6.7),237,,NaN,74.2,67.9,79.6,(±5.9),274,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
WA-Rest of State,5.6,3.4,9.1,(±2.7),269,,NaN,13.1,9.2,18.3,(±4.5),287,,NaN,18.2,13.6,23.8,(±5.1),285,,NaN,18.9,13.7,25.5,(±5.9),207,,NaN,29.2,22.8,36.6,(±6.9),207,,NaN,57.9,50.1,65.2,(±7.6),214,,NaN,73.4,64.6,80.6,(±8),193,,NaN,80.8,73.7,86.3,(±6.3),198,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
West Virginia,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,31.7,25.8,38.2,(±6.2),282,,NaN,56.0,48.7,63.0,(±7.2),300,,NaN,75.2,67.5,81.6,(±7),212,,NaN,85.9,80.9,89.7,(±4.4),304,,84.6,79.6,88.6,(±4.5),373,,NaN,81.9,74.8,87.4,(±6.3),250,,NaN,85.6,78.5,90.6,(±6.0),213,,85.6,79.2,90.3,(±5.5),259,,NaN,85.7,78.7,90.7,(±6.0),241,,NaN,88.0,82.5,92.0,(±4.7),235,
Wisconsin,,NaN,NaN,NA,,,NaN,4.6,3.3,6.4,(±1.5),516,,NaN,5.7,4.2,7.8,(±1.8),549,,NaN,4.4,2.9,6.5,(±1.7),417,,NaN,12.8,9.5,17.1,(±3.8),495,,NaN,38.9,31.6,46.7,(±7.6),253,,NaN,56.8,49.0,64.2,(±7.6),222,,NaN,73.4,67.2,78.8,(±5.8),317,,NaN,72.1,65.3,78.1,(±6.4),296,,77.1,70.3,82.8,(±6.2),307,,NaN,78.6,71.6,84.2,(±6.3),277,,NaN,84.1,77.9,88.9,(±5.4),221,,86.5,80.8,90.7,(±4.9),240,,NaN,81.4,74.4,86.8,(±6.1),245,,NaN,82.2,75.1,87.6,(±6.3),221,
WI-Milwaukee County,10.7,5.8,18.7,(±6.3),265,,NaN,21.3,15.4,28.5,(±6.5),262,,NaN,23.7,17.9,30.6,(±6.4),283,,NaN,20.7,14.1,29.4,(±7.6),209,,NaN,30.2,23.7,37.7,(±7),259,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
WI-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,8.2,4.7,13.8,(±4.4),236,,NaN,38.9,31.6,46.7,(±7.6),253,,NaN,56.8,49.0,64.2,(±7.6),222,,NaN,73.4,67.2,78.8,(±5.8),317,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Wyoming,,NaN,NaN,NA,,,NaN,9.9,6.4,14.9,(±4.1),270,,NaN,6.9,4.3,10.9,(±3.2),279,,NaN,,NaN,NaN,NA,,,NaN,15.2,10.9,21.0,(±5),283,,NaN,36.3,29.3,44.0,(±7.4),250,,NaN,47.5,40.9,54.2,(±6.7),259,,NaN,53.5,46.6,60.4,(±6.9),269,,NaN,58.5,50.7,65.8,(±7.6),243,,67.3,57.8,75.6,(±9.0),289,,NaN,56.2,48.5,63.6,(±7.6),257,,NaN,63.6,55.5,71.0,(±7.8),196,,60.4,50.8,69.2,(±9.3),218,,NaN,73.0,65.7,79.2,(±6.8),219,,NaN,65.1,57.8,71.7,(±6.9),250,
Guam,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.5,79.0,88.7,(±4.8),313,
Puerto Rico,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.3,81.0,90.2,(±4.6),294,
U.S. Virgin Islands,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,36.8,30.2,43.9,(±6.8),260,,NaN,30.2,22.8,38.8,(±8.1),206,,25.9,21.1,31.4,(±5.2),390,,NaN,31.9,25.2,39.5,(±7.2),229,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.1,55.5,70.1,(±7.4),284,
United States,4.7,4.2,5.2,(±0.5),21410,NaN,NaN,10.8,10.1,11.5,(±0.7),21310,NaN,NaN,12.0,11.2,12.8,(±0.8),21997,NaN,NaN,15.2,14.3,16.2,(±0.9),17563,NaN,NaN,23.9,22.9,24.9,(±1),21044,NaN,NaN,48.7,47.4,50.0,(±1.3),17017,NaN,NaN,70.5,69.4,71.6,(±1.1),18430,NaN,NaN,75.0,73.9,76.1,(±1.1),17052,NaN,NaN,78.3,77.1,79.4,(±1.1),16797,NaN,81.2,80.2,82.1,(±1.0),19141,NaN,NaN,81.5,80.4,82.6,(±1.1),16686,NaN,NaN,83.1,81.9,84.3,(±1.2),13610,NaN,85.1,84.0,86.2,(±1.1),14891,NaN,NaN,85.8,84.7,86.8,(±1.1),15167,NaN,NaN,86.1,84.9,87.2,(±1.1),14987,NaN
Region  1,,NaN,NaN,NA,,NaN,NaN,,NaN,NaN,NA,,NaN,NaN,,NaN,NaN,NA,,NaN,NaN,,NaN,NaN,NA,,NaN,NaN,4.5,3.4,5.9,(±1.2),1760,NaN,NaN,25.7,21.8,29.9,(±4.1),1317,NaN,NaN,59.0,54.9,63.0,(±4.1),1465,NaN,NaN,66.3,62.1,70.2,(±4.1),1639,NaN,NaN,77.8,74.4,80.8,(±3.2),1461,NaN,77.2,73.3,80.6,(±3.7),1862,NaN,NaN,82.7,79.5,85.4,(±2.9),1616,NaN,NaN,86.5,83.1,89.2,(±3.1),1376,NaN,87.1,84.0,89.7,(±2.8),1414,NaN,NaN,88.2,85.3,90.6,(±2.7),1507,NaN,NaN,90.0,87.5,92.0,(±2.2),1603,NaN
Region  2,,NaN,NaN,NA,,NaN,NaN,,NaN,NaN,NA,,NaN,NaN,,NaN,NaN,NA,,NaN,NaN,3.3,2.1,5.4,(±1.6),938,NaN,NaN,11.6,9.3,14.3,(±2.5),1079,NaN,NaN,35.4,31.4,39.6,(±4.1),802,NaN,NaN,59.7,55.8,63.4,(±3.9),851,NaN,NaN,63.4,59.3,67.2,(±4),805,NaN,NaN,67.5,63.4,71.4,(±4.0),786,NaN,74.3,70.7,77.5,(±3.4),958,NaN,NaN,75.3,71.9,78.4,(±3.3),839,NaN,NaN,82.5,78.9,85.6,(±3.3),733,NaN,81.4,77.7,84.6,(±3.5),728,NaN,NaN,81.9,78.5,84.9,(±3.2),838,NaN,NaN,84.2,81.1,87.0,(±2.9),814,NaN
Region  3,,NaN,NaN,NA,,NaN,NaN,,NaN,NaN,NA,,NaN,NaN,,NaN,NaN,NA,,NaN,NaN,0.9,0.6,1.5,(±0.4),1788,NaN,NaN,12.3,10.3,14.6,(±2.1),2347,NaN,NaN,44.2,40.9,47.5,(±3.3),2074,NaN,NaN,68.6,65.0,72.1,(±3.6),2303,NaN,NaN,72.4,68.7,75.9,(±3.6),2090,NaN,NaN,79.4,76.5,82.1,(±2.8),2161,NaN,83.0,80.3,85.4,(±2.5),2790,NaN,NaN,82.1,78.8,85.0,(±3.1),2035,NaN,NaN,83.3,79.5,86.5,(±3.5),1824,NaN,85.7,82.6,88.4,(±2.9),2029,NaN,NaN,85.3,82.1,88.1,(±3.0),2103,NaN,NaN,88.3,85.3,90.7,(±2.7),2073,NaN
Region  4,,NaN,NaN,NA,,NaN,NaN,0.9,0.6,1.4,(±0.4),3865,NaN,NaN,0.9,0.7,1.3,(±0.3),3795,NaN,NaN,2.2,1.6,3.0,(±0.7),3134,NaN,NaN,7.4,6.4,8.6,(±1.1),3423,NaN,NaN,37.2,34.3,40.1,(±2.9),2549,NaN,NaN,67.7,65.1,70.1,(±2.5),3041,NaN,NaN,74.8,72.2,77.2,(±2.5),2419,NaN,NaN,79.9,77.5,82.1,(±2.3),2404,NaN,79.4,77.0,81.7,(±2.4),2530,NaN,NaN,80.5,77.8,83.0,(±2.6),2318,NaN,NaN,81.7,78.8,84.4,(±2.8),1671,NaN,84.8,82.1,87.1,(±2.5),1950,NaN,NaN,82.3,79.8,84.5,(±2.4),2035,NaN,NaN,83.7,80.9,86.2,(±2.7),2064,NaN
Region  5,0.5,0.3,0.8,(±0.3),3381,NaN,NaN,1.2,0.9,1.7,(±0.4),3177,NaN,NaN,1.5,1.1,2.0,(±0.5),3359,NaN,NaN,2.5,1.7,3.7,(±1),2379,NaN,NaN,8.5,7.2,10.0,(±1.4),2901,NaN,NaN,33.8,31.1,36.5,(±2.7),2374,NaN,NaN,59.7,56.8,62.4,(±2.8),2436,NaN,NaN,68.7,65.9,71.3,(±2.7),2541,NaN,NaN,71.3,68.6,74.0,(±2.7),2057,NaN,75.5,72.7,78.1,(±2.7),2399,NaN,NaN,77.6,75.0,80.0,(±2.5),1965,NaN,NaN,78.2,75.5,80.6,(±2.5),1615,NaN,84.2,81.7,86.3,(±2.3),1807,NaN,NaN,84.7,82.2,86.9,(±2.4),1797,NaN,NaN,85.9,83.4,88.1,(±2.3),1684,NaN
Region  6,10.2,8.3,12.4,(±2),2709,NaN,NaN,18.9,16.8,21.2,(±2.2),2748,NaN,NaN,21.8,19.5,24.4,(±2.4),2930,NaN,NaN,33.6,30.3,37.1,(±3.4),2411,NaN,NaN,44.5,41.5,47.6,(±3.1),2725,NaN,NaN,66.6,63.3,69.7,(±3.2),2598,NaN,NaN,80.4,77.2,83.3,(±3.1),2605,NaN,NaN,84.1,81.4,86.4,(±2.5),2477,NaN,NaN,85.9,83.8,87.8,(±2.0),2590,NaN,88.4,86.1,90.4,(±2.1),2946,NaN,NaN,84.5,82.2,86.6,(±2.2),2877,NaN,NaN,87.6,84.9,89.8,(±2.5),2012,NaN,88.0,85.3,90.2,(±2.5),2340,NaN,NaN,89.7,87.3,91.7,(±2.2),2416,NaN,NaN,88.7,86.3,90.7,(±2.2),2242,NaN
Region  7,,NaN,NaN,NA,,NaN,NaN,4.3,2.8,6.7,(±1.9),1078,NaN,NaN,4.0,2.3,7.0,(±2.3),1086,NaN,NaN,7.0,5.3,9.2,(±1.9),1205,NaN,NaN,16.3,13.7,19.3,(±2.8),1299,NaN,NaN,43.9,39.8,48.1,(±4.1),980,NaN,NaN,63.5,60.0,66.9,(±3.5),1196,NaN,NaN,71.4,67.7,74.9,(±3.6),1057,NaN,NaN,74.7,71.3,77.9,(±3.3),1090,NaN,78.5,75.3,81.4,(±3.1),1344,NaN,NaN,80.9,77.2,84.1,(±3.4),1119,NaN,NaN,82.0,78.3,85.2,(±3.5),848,NaN,85.0,81.6,87.9,(±3.2),942,NaN,NaN,87.4,84.4,89.9,(±2.7),964,NaN,NaN,86.4,83.1,89.1,(±3),939,NaN
Region  8,5.6,4.3,7.2,(±1.5),1633,NaN,NaN,15.6,13.1,18.5,(±2.7),1631,NaN,NaN,18.2,15.4,21.4,(±3),1714,NaN,NaN,24.6,21.1,28.4,(±3.6),1594,NaN,NaN,33.7,29.2,38.5,(±4.6),1626,NaN,NaN,58.5,53.9,63.1,(±4.6),1536,NaN,NaN,74.1,70.2,77.7,(±3.8),1638,NaN,NaN,72.3,68.0,76.1,(±4),1593,NaN,NaN,75.2,72.0,78.1,(±3.1),1746,NaN,74.7,70.2,78.7,(±4.2),1874,NaN,NaN,83.3,80.0,86.2,(±3.1),1637,NaN,NaN,80.8,77.5,83.7,(±3.1),1424,NaN,83.5,80.3,86.3,(±3.0),1554,NaN,NaN,84.9,81.8,87.5,(±2.8),1416,NaN,NaN,84.4,80.6,87.5,(±3.5),1453,NaN
Region  9,15.2,12.8,17.9,(±2.6),2209,NaN,NaN,35.6,32.3,39.1,(±3.4),2261,NaN,NaN,38.8,35.3,42.4,(±3.6),2386,NaN,NaN,42.4,38.3,46.6,(±4.2),1790,NaN,NaN,53.9,50.0,57.8,(±3.9),2536,NaN,NaN,72.6,68.0,76.7,(±4.4),1721,NaN,NaN,84.8,81.7,87.5,(±2.9),1709,NaN,NaN,83.4,79.6,86.6,(±3.5),1244,NaN,NaN,82.4,77.7,86.3,(±4.3),1262,NaN,87.6,84.4,90.3,(±2.9),1287,NaN,NaN,86.0,81.0,89.8,(±4.4),1141,NaN,NaN,85.3,79.3,89.7,(±5.2),1078,NaN,86.8,81.8,90.6,(±4.4),1139,NaN,NaN,87.9,83.0,91.6,(±4.3),1086,NaN,NaN,85.4,79.9,89.6,(±4.8),1026,NaN
Region 10,8.0,6.6,9.6,(±1.5),1390,NaN,NaN,22.7,20.1,25.5,(±2.7),1373,NaN,NaN,25.6,22.9,28.6,(±2.9),1419,NaN,NaN,26.5,23.3,29.9,(±3.3),1013,NaN,NaN,40.8,37.4,44.3,(±3.4),1348,NaN,NaN,60.3,56.1,64.4,(±4.1),1066,NaN,NaN,75.3,71.4,78.8,(±3.7),1186,NaN,NaN,79.9,76.7,82.7,(±3),1187,NaN,NaN,80.6,77.3,83.4,(±3.0),1240,NaN,83.1,79.4,86.2,(±3.4),1151,NaN,NaN,82.5,78.4,86.0,(±3.8),1139,NaN,NaN,86.0,82.1,89.2,(±3.5),1029,NaN,80.2,75.2,84.4,(±4.6),988,NaN,NaN,89.3,86.6,91.5,(±2.4),1005,NaN,NaN,88.3,85.4,90.6,(±2.6),1089,NaN
HP 2020 Target,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
